Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
139	Spectrogram 1	1	1009.666000	1009.728000	4000.000000	18000.000000	8000.000000	Twitter	5.956851	-25.412279	46.928053	0
140	Spectrogram 1	1	1009.798000	1009.866000	4000.000000	18000.000000	8000.000000	Twitter	6.174387	-25.476837	48.826114	0
141	Spectrogram 1	1	1009.942000	1009.998000	4000.000000	18000.000000	8000.000000	Twitter	6.041640	-25.831815	49.844250	0
142	Spectrogram 1	1	1010.080000	1010.136000	4000.000000	18000.000000	8000.000000	Twitter	5.925311	-25.711613	50.245819	0
143	Spectrogram 1	1	1010.212000	1010.280000	4000.000000	18000.000000	8000.000000	Twitter	6.430700	-26.004556	47.606095	0
144	Spectrogram 1	1	1010.344000	1010.418000	4000.000000	18000.000000	8000.000000	Twitter	6.236083	-26.083721	52.366296	0
145	Spectrogram 1	1	1010.476000	1010.562000	4000.000000	18000.000000	8000.000000	Twitter	5.603818	-27.731956	56.798125	0
146	Spectrogram 1	1	1010.614000	1010.718000	4000.000000	18000.000000	8000.000000	Twitter	5.255496	-28.873576	79.148117	0
147	Spectrogram 1	1	1010.728000	1010.754000	4000.000000	18000.000000	8000.000000	Trill	4.640514	-38.943265	43.950439	1
148	Spectrogram 1	1	1010.758000	1010.814000	4000.000000	18000.000000	8000.000000	Twitter	7.853497	-30.396361	74.836512	0
149	Spectrogram 1	1	1040.362000	1040.592000	4000.000000	18000.000000	8000.000000	Trill	14.780124	-32.506958	98.224540	0
150	Spectrogram 1	1	1060.810000	1060.872000	4000.000000	18000.000000	8000.000000	Trill	5.736016	-36.745011	44.691793	0
151	Spectrogram 1	1	1061.506000	1061.550000	4000.000000	18000.000000	8000.000000	Twitter	6.561080	-31.174930	51.317712	0
152	Spectrogram 1	1	1061.620000	1061.706000	4000.000000	18000.000000	8000.000000	Twitter	5.885055	-26.239393	66.956897	0
153	Spectrogram 1	1	1061.770000	1061.844000	4000.000000	18000.000000	8000.000000	Twitter	6.553821	-25.850360	64.976435	0
154	Spectrogram 1	1	1061.902000	1061.982000	4000.000000	18000.000000	8000.000000	Twitter	6.452362	-25.201957	63.112595	0
155	Spectrogram 1	1	1062.040000	1062.120000	4000.000000	18000.000000	8000.000000	Twitter	6.402214	-26.141749	58.080253	0
156	Spectrogram 1	1	1062.166000	1062.246000	4000.000000	18000.000000	8000.000000	Twitter	6.896472	-25.352268	55.107953	0
157	Spectrogram 1	1	1062.304000	1062.384000	4000.000000	18000.000000	8000.000000	Twitter	7.035238	-25.258969	54.469445	0
158	Spectrogram 1	1	1062.436000	1062.522000	4000.000000	18000.000000	8000.000000	Twitter	7.036729	-25.915845	53.062288	0
159	Spectrogram 1	1	1062.574000	1062.660000	4000.000000	18000.000000	8000.000000	Twitter	6.922969	-25.800033	53.910795	0
160	Spectrogram 1	1	1062.712000	1062.804000	4000.000000	18000.000000	8000.000000	Twitter	7.013722	-26.194611	59.317449	0
161	Spectrogram 1	1	1062.844000	1062.942000	4000.000000	18000.000000	8000.000000	Twitter	7.182225	-26.624531	71.426631	0
162	Spectrogram 1	1	1062.976000	1063.074000	4000.000000	18000.000000	8000.000000	Twitter	8.408618	-26.951089	100.976202	0
163	Spectrogram 1	1	1063.120000	1063.176000	4000.000000	18000.000000	8000.000000	Twitter	12.439361	-27.803493	103.094515	0
164	Spectrogram 1	1	1068.034000	1068.288000	4000.000000	18000.000000	8000.000000	Trill	15.144712	-36.186700	74.124387	0
165	Spectrogram 1	1	1084.606000	1084.950000	4000.000000	18000.000000	8000.000000	Trill	13.782732	-31.189440	104.794937	0
166	Spectrogram 1	1	1089.214000	1089.534000	4000.000000	18000.000000	8000.000000	Trill	11.519104	-34.757039	81.751794	0
167	Spectrogram 1	1	1090.924000	1091.004000	4000.000000	18000.000000	8000.000000	Twitter	5.151927	-27.402136	59.510786	0
168	Spectrogram 1	1	1091.056000	1091.148000	4000.000000	18000.000000	8000.000000	Twitter	7.248893	-26.079566	71.367055	0
169	Spectrogram 1	1	1091.194000	1091.280000	4000.000000	18000.000000	8000.000000	Twitter	7.396234	-26.124343	68.060901	0
