Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
129	Spectrogram 1	3	659.022000	659.060000	4000.000000	18000.000000	8000.000000	Trill	12.965304	-35.998281	0
130	Spectrogram 1	3	670.164000	670.238000	4000.000000	18000.000000	8000.000000	Trill	11.356398	-36.200104	1
131	Spectrogram 1	3	685.680000	685.730000	4000.000000	18000.000000	8000.000000	Trill	9.974648	-36.923916	1
132	Spectrogram 1	3	685.800000	685.862000	4000.000000	18000.000000	8000.000000	Trill	9.785322	-36.926990	1
133	Spectrogram 1	3	685.926000	685.964000	4000.000000	18000.000000	8000.000000	Trill	9.550239	-37.107892	1
134	Spectrogram 1	3	686.046000	686.102000	4000.000000	18000.000000	8000.000000	Trill	11.103912	-37.730176	1
135	Spectrogram 1	3	686.178000	686.222000	4000.000000	18000.000000	8000.000000	Trill	9.957787	-37.955719	1
136	Spectrogram 1	3	693.996000	694.046000	4000.000000	18000.000000	8000.000000	Trill	10.917479	-36.932893	1
137	Spectrogram 1	3	703.654000	703.734000	4000.000000	18000.000000	8000.000000	Trill	14.396273	-35.976822	0
138	Spectrogram 1	3	725.938000	726.048000	4000.000000	18000.000000	8000.000000	Trillphee	13.155595	-37.926570	0
139	Spectrogram 1	3	733.348000	733.404000	4000.000000	18000.000000	8000.000000	Phee	17.551046	-37.541713	0
140	Spectrogram 1	3	743.728000	743.790000	4000.000000	18000.000000	8000.000000	Trill	9.534327	-37.939713	1
141	Spectrogram 1	3	743.866000	743.922000	4000.000000	18000.000000	8000.000000	Trill	10.230611	-38.230698	1
142	Spectrogram 1	3	754.750000	755.106000	4000.000000	18000.000000	8000.000000	Trill	17.605132	-30.363306	0
143	Spectrogram 1	3	762.286000	762.330000	4000.000000	18000.000000	8000.000000	Trill	15.207446	-36.886120	0
144	Spectrogram 1	3	764.548000	764.964000	4000.000000	18000.000000	8000.000000	Trill	12.940902	-34.689683	0
145	Spectrogram 1	3	790.336000	790.488000	4000.000000	18000.000000	8000.000000	Trill	10.273173	-37.911071	1
146	Spectrogram 1	3	791.500000	791.556000	4000.000000	18000.000000	8000.000000	Trill	9.356102	-35.719769	1
147	Spectrogram 1	3	791.974000	792.120000	4000.000000	18000.000000	8000.000000	Trill	10.041546	-30.129350	1
148	Spectrogram 1	3	799.108000	799.170000	4000.000000	18000.000000	8000.000000	Trill	9.737071	-36.531731	1
149	Spectrogram 1	3	799.234000	799.272000	4000.000000	18000.000000	8000.000000	Trill	11.252678	-37.769229	1
150	Spectrogram 1	3	804.758000	804.820000	4000.000000	18000.000000	8000.000000	Phee	16.090401	-37.734564	0
151	Spectrogram 1	3	810.002000	810.040000	4000.000000	18000.000000	8000.000000	Trill	10.749068	-38.777968	1
152	Spectrogram 1	3	836.426000	836.458000	4000.000000	18000.000000	8000.000000	Trill	12.844037	-38.486371	0
153	Spectrogram 1	3	839.378000	839.440000	4000.000000	18000.000000	8000.000000	Trill	10.257350	-38.285529	1
154	Spectrogram 1	3	847.520000	847.570000	4000.000000	18000.000000	8000.000000	Trill	11.273053	-36.011564	1
155	Spectrogram 1	3	853.082000	853.150000	4000.000000	18000.000000	8000.000000	Trill	11.602553	-37.875634	1
156	Spectrogram 1	3	854.462000	854.500000	4000.000000	18000.000000	8000.000000	Trill	12.624159	-38.854882	0
157	Spectrogram 1	3	855.818000	855.862000	4000.000000	18000.000000	8000.000000	Trill	11.493262	-37.936152	1
158	Spectrogram 1	3	883.148000	883.186000	4000.000000	18000.000000	8000.000000	Trill	13.490430	-38.650188	0
159	Spectrogram 1	3	883.334000	883.504000	4000.000000	18000.000000	8000.000000	Trill	13.958336	-37.539634	0
160	Spectrogram 1	3	887.180000	887.230000	4000.000000	18000.000000	8000.000000	Phee	15.533633	-38.902990	0
161	Spectrogram 1	3	891.056000	891.118000	4000.000000	18000.000000	8000.000000	Trill	10.163399	-36.910319	1
162	Spectrogram 1	3	892.304000	892.342000	4000.000000	18000.000000	8000.000000	Phee	14.864690	-38.076190	0
163	Spectrogram 1	3	893.288000	893.344000	4000.000000	18000.000000	8000.000000	Trill	17.152753	-36.289569	0
164	Spectrogram 1	3	893.762000	893.842000	4000.000000	18000.000000	8000.000000	Trill	14.767991	-37.786198	0
165	Spectrogram 1	3	897.158000	897.244000	4000.000000	18000.000000	8000.000000	Trill	9.182454	-33.483957	1
166	Spectrogram 1	3	898.100000	898.162000	4000.000000	18000.000000	8000.000000	Trill	9.158112	-34.186297	1
167	Spectrogram 1	3	903.396000	903.482000	4000.000000	18000.000000	8000.000000	Trill	11.264222	-37.862957	1
168	Spectrogram 1	3	904.374000	904.442000	4000.000000	18000.000000	8000.000000	Trill	19.483446	-38.069216	0
169	Spectrogram 1	3	906.258000	906.290000	4000.000000	18000.000000	8000.000000	Trill	17.129072	-38.770804	0
170	Spectrogram 1	3	912.786000	912.842000	4000.000000	18000.000000	8000.000000	Trill	14.534660	-38.555500	0
171	Spectrogram 1	3	925.218000	925.328000	4000.000000	18000.000000	8000.000000	Trill	16.118768	-38.421950	0
172	Spectrogram 1	3	934.074000	934.124000	4000.000000	18000.000000	8000.000000	Phee	15.088687	-38.519862	0
173	Spectrogram 1	3	935.106000	935.234000	4000.000000	18000.000000	8000.000000	Trill	10.079405	-36.715884	1
174	Spectrogram 1	3	942.918000	942.986000	4000.000000	18000.000000	8000.000000	Trill	15.737370	-38.938647	0
175	Spectrogram 1	3	943.044000	943.148000	4000.000000	18000.000000	8000.000000	Trill	12.057393	-38.101735	0
176	Spectrogram 1	3	943.320000	943.352000	4000.000000	18000.000000	8000.000000	Trill	12.497883	-38.403195	0
177	Spectrogram 1	3	943.458000	943.490000	4000.000000	18000.000000	8000.000000	Trill	17.979540	-36.123465	0
178	Spectrogram 1	3	952.908000	952.946000	4000.000000	18000.000000	8000.000000	Trill	17.824770	-38.899382	0
179	Spectrogram 1	3	962.190000	962.258000	4000.000000	18000.000000	8000.000000	Trill	10.261597	-37.508939	1
180	Spectrogram 1	3	963.930000	963.992000	4000.000000	18000.000000	8000.000000	Trill	12.372321	-36.859221	0
181	Spectrogram 1	3	965.766000	965.804000	4000.000000	18000.000000	8000.000000	Trill	19.681565	-38.615179	0
182	Spectrogram 1	3	966.156000	966.212000	4000.000000	18000.000000	8000.000000	Trill	14.171908	-37.638178	0
183	Spectrogram 1	3	969.396000	969.464000	4000.000000	18000.000000	8000.000000	Trill	9.658650	-37.392335	1
184	Spectrogram 1	3	974.412000	974.480000	4000.000000	18000.000000	8000.000000	Trill	16.991120	-38.503594	0
185	Spectrogram 1	3	974.556000	974.630000	4000.000000	18000.000000	8000.000000	Trill	22.550171	-38.510594	0
186	Spectrogram 1	3	985.098000	985.148000	4000.000000	18000.000000	8000.000000	Phee	14.978391	-37.697118	0
187	Spectrogram 1	3	986.478000	986.516000	4000.000000	18000.000000	8000.000000	Trill	12.167539	-37.390640	0
188	Spectrogram 1	3	997.530000	997.562000	4000.000000	18000.000000	8000.000000	Trill	12.697042	-38.471176	0
189	Spectrogram 1	3	1001.818000	1001.856000	4000.000000	18000.000000	8000.000000	Trill	13.945847	-35.658008	0
190	Spectrogram 1	3	1006.648000	1006.704000	4000.000000	18000.000000	8000.000000	Phee	14.220923	-36.903475	0
191	Spectrogram 1	3	1007.626000	1008.102000	4000.000000	18000.000000	8000.000000	Trill	9.680813	-33.659343	1
192	Spectrogram 1	3	1018.012000	1018.062000	4000.000000	18000.000000	8000.000000	Trill	10.872858	-32.063860	1
193	Spectrogram 1	3	1018.144000	1018.212000	4000.000000	18000.000000	8000.000000	Trill	9.507043	-31.341989	1
194	Spectrogram 1	3	1018.288000	1018.362000	4000.000000	18000.000000	8000.000000	Trill	9.954843	-31.778126	1
195	Spectrogram 1	3	1018.420000	1018.494000	4000.000000	18000.000000	8000.000000	Trill	9.645596	-32.002768	1
196	Spectrogram 1	3	1018.552000	1018.632000	4000.000000	18000.000000	8000.000000	Trill	9.630247	-32.200801	1
197	Spectrogram 1	3	1018.684000	1018.758000	4000.000000	18000.000000	8000.000000	Trill	9.277282	-32.619402	1
198	Spectrogram 1	3	1059.178000	1059.270000	4000.000000	18000.000000	8000.000000	Trill	13.859662	-34.019962	0
199	Spectrogram 1	3	1062.646000	1062.678000	4000.000000	18000.000000	8000.000000	Trill	11.800314	-34.953838	1
200	Spectrogram 1	3	1064.374000	1064.436000	4000.000000	18000.000000	8000.000000	Trill	10.169439	-36.449810	1
201	Spectrogram 1	3	1066.678000	1066.728000	4000.000000	18000.000000	8000.000000	Trill	9.594018	-34.624309	1
202	Spectrogram 1	3	1076.128000	1076.256000	4000.000000	18000.000000	8000.000000	Trill	11.051420	-32.185416	1
203	Spectrogram 1	3	1081.156000	1081.428000	4000.000000	18000.000000	8000.000000	Trill	9.907466	-27.986622	1
204	Spectrogram 1	3	1083.418000	1083.876000	4000.000000	18000.000000	8000.000000	Trill	9.324333	-34.422283	1
205	Spectrogram 1	3	1084.054000	1084.098000	4000.000000	18000.000000	8000.000000	Trill	9.696175	-26.003553	1
206	Spectrogram 1	3	1084.156000	1084.332000	4000.000000	18000.000000	8000.000000	Trill	12.366882	-24.666386	0
207	Spectrogram 1	3	1088.020000	1088.052000	4000.000000	18000.000000	8000.000000	Trill	9.352427	-27.982478	1
208	Spectrogram 1	3	1088.806000	1088.946000	4000.000000	18000.000000	8000.000000	Trill	9.397985	-33.868717	1
209	Spectrogram 1	3	1091.554000	1091.610000	4000.000000	18000.000000	8000.000000	Trill	9.859894	-36.051913	1
210	Spectrogram 1	3	1092.094000	1092.126000	4000.000000	18000.000000	8000.000000	Trill	12.969359	-34.279696	0
211	Spectrogram 1	3	1092.166000	1092.216000	4000.000000	18000.000000	8000.000000	Trill	19.299907	-38.959028	0
212	Spectrogram 1	3	1093.954000	1093.998000	4000.000000	18000.000000	8000.000000	Trill	10.228115	-31.374469	1
213	Spectrogram 1	3	1096.018000	1096.134000	4000.000000	18000.000000	8000.000000	Trill	9.473558	-35.133939	1
214	Spectrogram 1	3	1096.696000	1096.908000	4000.000000	18000.000000	8000.000000	Trill	9.907812	-29.877119	1
215	Spectrogram 1	3	1097.416000	1097.760000	4000.000000	18000.000000	8000.000000	Trill	9.250345	-35.793048	1
216	Spectrogram 1	3	1098.904000	1098.942000	4000.000000	18000.000000	8000.000000	Trill	10.606557	-37.433825	1
217	Spectrogram 1	3	1103.528000	1103.692000	4000.000000	18000.000000	8000.000000	Trill	15.974371	-29.262838	0
218	Spectrogram 1	3	1103.762000	1103.830000	4000.000000	18000.000000	8000.000000	Trill	13.928338	-27.959274	0
219	Spectrogram 1	3	1103.918000	1103.992000	4000.000000	18000.000000	8000.000000	Trill	13.461129	-28.092607	0
220	Spectrogram 1	3	1104.056000	1104.166000	4000.000000	18000.000000	8000.000000	Trill	13.391978	-28.565885	0
221	Spectrogram 1	3	1104.194000	1104.526000	4000.000000	18000.000000	8000.000000	Trill	14.066582	-28.902129	0
222	Spectrogram 1	3	1106.708000	1106.806000	4000.000000	18000.000000	8000.000000	Trill	9.229540	-38.180901	1
